text,label,token_count,text_length
"['do', 'however', 'want', 'you', 'to', 'know', 'that', 'if', 'something', 'someone', 'is', 'causing', 'you', 'to', 'feel', 'less', 'then', 'your', 'splendid', 'self', 'step', 'away', 'from', 'them']",joy,25,127
"['feel', 'bit', 'rude', 'writing', 'to', 'an', 'elderly', 'gentleman', 'to', 'ask', 'for', 'gifts', 'because', 'feel', 'bit', 'greedy', 'but', 'what', 'is', 'christmas', 'about', 'if', 'not', 'mild', 'greed']",anger,29,140
"['need', 'you', 'need', 'someone', 'need', 'to', 'be', 'protected', 'and', 'feel', 'safe', 'am', 'small', 'now', 'find', 'myself', 'in', 'season', 'of', 'no', 'words']",joy,27,115
"['plan', 'to', 'share', 'my', 'everyday', 'life', 'stories', 'traveling', 'adventures', 'inspirations', 'and', 'handmade', 'creations', 'with', 'you', 'and', 'hope', 'you', 'will', 'also', 'feel', 'inspired']",joy,23,143
"['already', 'have', 'my', 'christmas', 'trees', 'up', 'got', 'two', 'and', 'am', 'feeling', 'festive', 'which', 'sure', 'is', 'spurring', 'me', 'to', 'get', 'started', 'on', 'this', 'book']",joy,27,127
"['ive', 'worn', 'it', 'once', 'on', 'its', 'own', 'with', 'little', 'concealer', 'and', 'for', 'the', 'days', 'im', 'feeling', 'brave', 'but', 'dont', 'want', 'to', 'be', 'pale', 'then', 'its', 'perfect']",joy,27,127
"['feel', 'very', 'strongly', 'passionate', 'about', 'when', 'some', 'jerk', 'off', 'decides', 'to', 'poke', 'and', 'make', 'fun', 'of', 'us']",joy,18,91
"['was', 'feeling', 'so', 'discouraged', 'we', 'are', 'already', 'robbing', 'peter', 'to', 'pay', 'paul', 'to', 'get', 'our', 'cow', 'this', 'year', 'but', 'we', 'cant', 'afford', 'to', 'not', 'get', 'the', 'cow', 'this', 'way']",sadness,30,141
"['was', 'feeling', 'listless', 'from', 'the', 'need', 'of', 'new', 'things', 'something', 'different']",sadness,12,70
"['lost', 'my', 'special', 'mind', 'but', 'don', 'worry', 'still', 'sane', 'just', 'wanted', 'you', 'to', 'feel', 'what', 'felt', 'while', 'reading', 'this', 'book', 'don', 'know', 'how', 'many', 'times', 'it', 'was', 'said', 'that', 'sam', 'was', 'special', 'but', 'can', 'guarantee', 'you', 'it', 'was', 'many', 'more', 'times', 'than', 'what', 'used', 'in', 'that', 'paragraph', 'did', 'tell', 'you', 'she', 'was', 'special']",joy,64,289
"['can', 'let', 'go', 'of', 'that', 'sad', 'feeling', 'that', 'want', 'to', 'be', 'accepted', 'here', 'in', 'this', 'first', 'home', 'of', 'mine']",love,22,93
"['on', 'boat', 'trip', 'to', 'denmark']",joy,6,25
"['stopped', 'feeling', 'cold', 'and', 'began', 'feeling', 'hot']",anger,8,44
"['need', 'to', 'feel', 'the', 'dough', 'to', 'make', 'sure', 'its', 'just', 'perfect']",joy,12,54
"['found', 'myself', 'feeling', 'little', 'discouraged', 'that', 'morning']",sadness,9,56
"['feel', 'selfish', 'and', 'spoiled']",anger,5,26
"['was', 'stymied', 'little', 'bit', 'as', 'wrote', 'feeling', 'unsure', 'that', 'might', 'go', 'somewhere', 'with', 'the', 'story', 'unintended']",fear,20,104
"['bag', 'qaf', 'look', 'who', 'cryin', 'now', 'jacynthe', 'lookin', 'good', 'feelin', 'gorgeous', 'rupaul', 'the', 'skins', 'scissor', 'sisters', 'valentine', 'the', 'sun', 'fed', 'up', 'kayle', 'who', 'your', 'daddy', 'gerling', 'awake', 'the', 'unkind']",joy,33,175
"['feel', 'you', 'know', 'basically', 'like', 'fake', 'in', 'the', 'realm', 'of', 'science', 'fiction']",sadness,14,69
"['hate', 'living', 'under', 'my', 'dads', 'roof', 'because', 'it', 'gives', 'him', 'an', 'excuse', 'to', 'be', 'an', 'asshole', 'to', 'me', 'because', 'hes', 'providing', 'for', 'me', 'to', 'live', 'here', 'think', 'he', 'feels', 'that', 'he', 'needs', 'to', 'make', 'me', 'feel', 'as', 'unwelcome', 'as', 'possible', 'so', 'ill', 'leave']",sadness,45,213
"['keep', 'feeling', 'pleasantly', 'surprised', 'at', 'his', 'supportiveness', 'and', 'also', 'his', 'ease', 'in', 'new', 'situations']",surprise,15,93
"['have', 'this', 'feeling', 'that', 'if', 'have', 'anymore', 'vigorous', 'sexual', 'activity', 'in', 'the', 'coming', 'yes', 'misspelt', 'that', 'as', 'cumming', 'days', 'parts', 'of', 'me', 'will', 'begin', 'to', 'fall', 'off']",joy,30,152
"['feel', 'my', 'mom', 'graceful', 'warm', 'loving', 'smile', 'as', 'rob', 'the', 'time', 'to', 'nurture', 'myself', 'and', 'heal']",joy,19,87
"['feel', 'in', 'they', 'talk', 'the', 'brother', 'in', 'law', 'is', 'extremely', 'popular', 'the', 'one', 'that', 'had', 'no', 'me', 'to', 'think', 'is', 'so', 'stiff']",joy,23,103
"['ate', 'could', 'feel', 'gentle', 'tingle', 'throughout', 'almost', 'as', 'if', 'was', 'feeling', 'the', 'healing', 'taking', 'place', 'at', 'cellular', 'level']",love,23,117
"['feel', 'like', 'we', 'are', 'pressured', 'into', 'being', 'young', 'beautiful', 'thin', 'and', 'depending', 'on', 'the', 'trend', 'having', 'the', 'girls', 'rejuvenated', 'or', 'butt', 'implants']",fear,23,133
"['began', 'having', 'them', 'several', 'times', 'week', 'feeling', 'tortured', 'by', 'the', 'hallucinations', 'moving', 'people', 'and', 'figures', 'sounds', 'and', 'vibrations']",fear,20,127
"['am', 'now', 'nearly', 'finished', 'the', 'week', 'detox', 'and', 'feel', 'amazing']",surprise,12,58
"['feel', 'selfish', 'as', 'read', 'back', 'to', 'my', 'former', 'posts', 'how', 'have', 'never', 'asked', 'for', 'prayers', 'for', 'others', 'how', 'never', 'considered', 'that', 'there', 'may', 'be', 'others', 'out', 'there', 'that', 'deserve', 'their', 'prayers', 'answered', 'before', 'my', 'own']",anger,39,202
"['know', 'the', 'pain', 'parents', 'feel', 'when', 'an', 'enraged', 'child', 'becomes', 'violent']",anger,12,66
"['have', 'been', 'on', 'roller', 'coaster', 'of', 'emotions', 'over', 'these', 'supposed', 'feelings', 'that', 'something', 'unpleasant', 'was', 'coming']",sadness,18,109
"['suppose', 'my', 'own', 'truth', 'needs', 'to', 'be', 'shared', 'havent', 'been', 'feeling', 'very', 'faithful', 'lately', 'ive', 'dwelled', 'more', 'in', 'doubt', 'and', 'uncertainty', 'than', 'have', 'in', 'faith']",love,28,147
"['was', 'feeling', 'brave', 'when', 'bought', 'it', 'and', 'clearly', 'when', 'was', 'doing', 'my', 'makeup']",joy,16,75
"['am', 'feeling', 'miserable', 'but', 'am', 'also', 'the', 'proudest', 'mum', 'on', 'earth']",sadness,14,64
"['figure', 'my', 'family', 'loves', 'us', 'no', 'matter', 'what', 'but', 'around', 'anyone', 'else', 'feel', 'embarrassed', 'when', 'michelle', 'goes', 'ballistic']",sadness,20,113
"['don', 'necessarily', 'think', 'bombs', 'and', 'sex', 'are', 'necessary', 'in', 'all', 'stories', 'but', 'feel', 'reassured', 'when', 'see', 'them', 'in', 'print', 'journals']",joy,25,125
"['can', 'feel', 'my', 'ovaries', 'aching', 'talking', 'to', 'me', 'as', 'like', 'to', 'put', 'it']",sadness,15,62
"['didn', 'feel', 'like', 'doing', 'much', 'chris', 'and', 'mostly', 'just', 'took', 'too', 'many', 'pictures', 'of', 'unimportant', 'stuff']",sadness,19,97
"['im', 'tired', 'of', 'the', 'book', 'and', 'ready', 'to', 'have', 'it', 'out', 'of', 'here', 'and', 'finding', 'out', 'that', 'was', 'given', 'unsuitable', 'images', 'and', 'then', 'feeling', 'blamed', 'for', 'the', 'result', 'did', 'not', 'sit', 'well']",sadness,33,160
"['did', 'successfully', 'manage', 'to', 'stretch', 'mxm', 'canvas', 'feel', 'that', 'this', 'is', 'an', 'achievement', 'in', 'itself', 'for', 'me', 'and', 'was', 'worthwhile', 'usage', 'of', 'my', 'money', 'and', 'time', 'will', 'use', 'the', 'canvas', 'for', 'future', 'briefs']",joy,38,189
"['think', 'feelings', 'are', 'one', 'of', 'nay', 'the', 'most', 'important', 'things', 'we', 'have']",joy,13,65
"['feel', 'completely', 'honored', 'to', 'be', 'an', 'influence', 'to', 'this', 'young', 'talented', 'fully', 'alive', 'beautiful', 'girl', 'woman']",joy,17,100
"['feel', 'angered', 'and', 'firey']",anger,5,24
"['feel', 'like', 'miserable', 'piece', 'of', 'garbage']",sadness,8,40
"['feel', 'like', 'need', 'to', 'make', 'list', 'leanne', 'would', 'be', 'appalled', 'at', 'the', 'thought', 'so', 'that', 'dont', 'miss', 'anything']",anger,22,102
"['drove', 'dannika', 'to', 'school', 'was', 'feeling', 'little', 'bit', 'rushed', 'and', 'this', 'is', 'what', 'greeted', 'me', 'as', 'turned', 'the', 'corner']",anger,23,110
"['remember', 'feeling', 'so', 'hellip', 'furious', 'with', 'the', 'shooter']",anger,9,53
"['feel', 'very', 'happy', 'and', 'excited', 'since', 'learned', 'so', 'many', 'things']",joy,12,60
"['feel', 'that', 'at', 'shows', 'and', 'around', 'show', 'horses', 'people', 'are', 'trusting', 'and', 'relaxed', 'because', 'most', 'show', 'horses', 'are', 'safe', 'and', 'quiet', 'and', 'are', 'handled', 'frequently']",joy,26,146
"['only', 'have', 'couple', 'of', 'things', 'left', 'to', 'make', 'and', 'at', 'the', 'start', 'of', 'december', 'am', 'done', 'and', 'feeling', 'smug']",joy,22,99
"['think', 'about', 'how', 'could', 'make', 'me', 'feel', 'and', 'realize', 'that', 'everything', 'will', 'be', 'ok']",joy,16,77
"['feel', 'so', 'worthless', 'during', 'those', 'times', 'was', 'struggling', 'finding', 'work']",sadness,12,68
"['will', 'be', 'able', 'to', 'lay', 'on', 'my', 'bed', 'in', 'the', 'dark', 'and', 'not', 'feel', 'terrified', 'at', 'least', 'for', 'while']",fear,21,87
"['was', 'ready', 'to', 'meet', 'mom', 'in', 'the', 'airport', 'and', 'feel', 'her', 'ever', 'supportive', 'arms', 'around', 'me']",love,17,82
"['im', 'feeling', 'bitter', 'today', 'my', 'mood', 'has', 'been', 'strange', 'the', 'entire', 'day', 'so', 'guess', 'its', 'that']",anger,17,83
"['when', 'my', 'mums', 'brother', 'passed', 'away', 'after', 'having', 'been', 'involved', 'in', 'car', 'accident', 'he', 'was', 'bringing', 'me', 'present', 'as', 'had', 'passed', 'my', 'form', 'five', 'exams', 'with', 'flying', 'colours']",sadness,31,161
"['am', 'letting', 'go', 'of', 'the', 'animosity', 'that', 'is', 'towards', 'anyone', 'that', 'feel', 'has', 'wronged', 'me']",anger,17,82
"['talk', 'to', 'dogs', 'as', 'feel', 'they', 'cannot', 'understand', 'words', 'but', 'they', 'can', 'read', 'emotions', 'and', 'know', 'how', 'to', 'be', 'supportive', 'decided', 'should', 'go', 'home']",love,28,137
"['feel', 'like', 'throwing', 'away', 'the', 'shitty', 'piece', 'of', 'shit', 'paper']",sadness,11,56
"['im', 'starting', 'to', 'feel', 'wryly', 'amused', 'at', 'the', 'banal', 'comedy', 'of', 'errors', 'my', 'life', 'is', 'turning', 'into']",joy,17,86
"['find', 'every', 'body', 'beautiful', 'and', 'only', 'want', 'people', 'to', 'feel', 'vital', 'in', 'their', 'bodies']",joy,15,78
"['hear', 'are', 'owners', 'who', 'feel', 'victimized', 'by', 'their', 'associations', 'the', 'associations', 'attorneys', 'or', 'the', 'property', 'manager']",sadness,17,110
"['say', 'goodbye', 'to', 'the', 'fam', 'theyre', 'all', 'sad', 'crying', 'and', 'feel', 'like', 'heartless', 'bitch', 'because', 'hey', 'im', 'pretty', 'excited', 'to', 'be', 'flying', 'for', 'the', 'first', 'time', 'and', 'you', 'know', 'also', 'to', 'spend', 'year', 'in', 'another', 'country']",anger,41,197
"['wont', 'let', 'me', 'child', 'cry', 'it', 'out', 'because', 'feel', 'that', 'loving', 'her', 'and', 'lily', 'when', 'she', 'was', 'little', 'was', 'going', 'to', 'be', 'opportunities', 'that', 'only', 'lasted', 'for', 'those', 'short', 'few', 'months']",love,33,164
"['alba', 'feel', 'good', 'and', 'im', 'fitting', 'in']",joy,9,36
"['feel', 'excited', 'about', 'what', 'im', 'doing', 'again', 'feel', 'like', 'have', 'ton', 'of', 'catching', 'up', 'to', 'do']",joy,20,86
"['also', 'know', 'how', 'good', 'it', 'feels', 'to', 'look', 'back', 'and', 'see', 'that', 'honored', 'my', 'word', 'and', 'that', 'helps', 'from', 'the', 'start']",joy,23,103
"['mean', 'really', 'really', 'hard', 'works', 'to', 'obtain', 'such', 'high', 'technical', 'skill', 'in', 'wushu', 'feel', 'kinda', 'ashamed', 'but', 'somehow', 'motivated', 'when', 'saw', 'kids', 'doing', 'wushu', 'performances', 'whole', 'heartedly', 'despite', 'their', 'tiredness']",sadness,33,200
"['feel', 'like', 'things', 'are', 'getting', 'little', 'overwhelming', 'few', 'spritz', 'of', 'this', 'toner', 'really', 'helps', 'calm', 'and', 'soothe', 'me']",joy,21,111
"['hope', 'that', 'you', 'realize', 'how', 'such', 'little', 'effort', 'is', 'required', 'to', 'make', 'person', 'feel', 'better', 'about', 'themselves', 'or', 'their', 'situation', 'whether', 'its', 'me', 'family', 'member', 'college', 'or', 'high', 'school', 'friend', 'neighbor', 'down', 'the', 'street', 'or', 'even', 'complete', 'stranger']",joy,44,241
"['am', 'feeling', 'so', 'festive', 'today', 'that', 'even', 'going', 'to', 'put', 'the', 'tree', 'up', 'as', 'soon', 'as', 've', 'finished', 'doing', 'this', 'and', 'catching', 'up', 'with', 'the', 'week', 'goings', 'ons', 'on', 'coronation', 'street']",joy,36,168
"['finding', 'out', 'that', 'am', 'not', 'ill', 'not', 'seriously']",joy,9,43
"['did', 'alright', 'in', 'class', 'but', 'combination', 'of', 'feeling', 'unsuccessful', 'being', 'man', 'handled', 'the', 'stress', 'of', 'late', 'and', 'my', 'horrible', 'week', 'resulted', 'in', 'my', 'almost', 'crying', 'after', 'finished', 'grappling']",sadness,31,178
"['feel', 'it', 'rarely', 'advances', 'any', 'worthwhile', 'cause', 'and', 'always', 'stick', 'to', 'the', 'rule', 'of', 'not', 'posting', 'anything', 'online', 'that', 'wouldnt', 'be', 'prepared', 'to', 'say', 'to', 'somebodys', 'face']",joy,30,160
"['am', 'feeling', 'all', 'useful']",joy,5,23
"['feel', 'like', 'some', 'of', 'you', 'have', 'pains', 'and', 'you', 'cannot', 'imagine', 'becoming', 'passionate', 'about', 'the', 'group', 'or', 'the', 'idea', 'that', 'is', 'causing', 'pain']",love,24,126
"['feel', 'ugly', 'more', 'inclined', 'to', 'wear', 'ratty', 'jeans', 'and', 'sweatshirt', 'than', 'beautiful', 'dress', 'though', 'might', 'still', 'wear', 'pair', 'of', 'heels', 'around', 'my', 'house', 'to', 'boost', 'my', 'self', 'esteem', 'ever', 'so', 'slightly', 'but', 'definitely', 'won', 'bother', 'to', 'buy', 'new', 'pair']",sadness,49,236
"['im', 'not', 'feeling', 'homesick', 'yet', 'so', 'im', 'feeling', 'alright', 'about', 'this']",sadness,11,60
"['dance', 'should', 'feel', 'pretty']",joy,6,28
"['workout', 'every', 'morning', 'before', 'and', 'feel', 'fabulous', 'for', 'it']",joy,10,55
"['feel', 'all', 'of', 'this', 'just', 'from', 'her', 'eyes', 'not', 'from', 'her', 'touch', 'or', 'from', 'her', 'words', 'but', 'from', 'her', 'eyes', 'know', 'that', 'can', 'assuredly', 'return', 'this', 'love', 'and', 'know', 'that', 'it', 'shall', 'not', 'be', 'in', 'vain']",sadness,39,175
"['was', 'feeling', 'fabulous', 'until', 'friday', 'morning', 'when', 'started', 'to', 'get', 'these', 'awful', 'cramps', 'at', 'work']",joy,17,92
"['feel', 'honoured', 'to', 'have', 'been', 'able', 'to', 'call', 'them', 'friends', 'to', 'share', 'their', 'brotherhood']",joy,15,81
"['had', 'begun', 'to', 'feel', 'apprehensive', 'when', 'thick', 'black', 'rain', 'clouds', 'stormed', 'into', 'the', 'sky', 'above', 'town']",fear,17,93
"['had', 'stated', 'to', 'her', 'the', 'reason', 'feel', 'so', 'fearful', 'is', 'because', 'feel', 'unsafe']",fear,16,73
"['didn', 'feel', 'like', 'getting', 'shaken', 'down', 'by', 'the', 'tsa', 'quite', 'yet', 'so', 'pulled', 'off', 'to', 'the', 'side', 'at', 'creative', 'croissants', 'for', 'lunch']",fear,26,122
"['get', 'into', 'groups', 'feel', 'really', 'awkward', 'and', 'overcompensate', 'by', 'being', 'too', 'talkative', 'or', 'by', 'getting', 'really', 'quiet']",sadness,19,108
"['am', 'very', 'excited', 'to', 'finally', 'meet', 'that', 'companion', 'that', 'companion', 'who', 'will', 'be', 'with', 'me', 'at', 'all', 'times', 'especially', 'when', 'am', 'lonely', 'very', 'lonely', 'that', 'companion', 'who', 'will', 'never', 'disappoint', 'me', 'that', 'companion', 'who', 'will', 'put', 'his', 'arms', 'around', 'me', 'and', 'make', 'me', 'feel', 'loved']",love,47,250
"['feel', 'they', 'are', 'pretty', 'safe', 'on', 'my', 'blog', 'img', 'src', 'http']",joy,13,53
"['feel', 'pretty', 'eager', 'to', 'get', 'it', 'done', 'as', 'have', 'fun', 'plan', 'for', 'quilting', 'it']",joy,17,71
"['am', 'feeling', 'horny', 'so', 'ask', 'her', 'that', 'lets', 'go', 'home']",love,12,49
"['think', 'if', 'poem', 'doesn', 'put', 'pressure', 'on', 'me', 'don', 'feel', 'uncomfortable', 'in', 'the', 'sense', 'of', 'feeling', 'more', 'than', 'can', 'feel', 'understanding', 'more', 'than', 'can', 'understand', 'loving', 'more', 'than', 'am', 'able', 'to', 'be', 'in', 'love']",fear,42,198
"['too', 'feel', 'as', 'if', 'am', 'stranger', 'in', 'strange', 'land', 'and', 'am', 'raising', 'my', 'son', 'in', 'place', 'that', 'is', 'not', 'his', 'father', 'ancestral', 'home']",surprise,30,125
"['left', 'to', 'the', 'shower', 'questioning', 'what', 'feel', 'she', 'was', 'gorgeous', 'such', 'fantastic', 'body', 'so', 'confident', 'in', 'her', 'movement', 'effortlessly', 'graceful']",joy,23,134
"['feel', 'energetic', 'and', 'bouncy', 'more', 'than', 'happy', 'to', 'go', 'to', 'the', 'gym', 'run', 'around', 'outside', 'with', 'my', 'kids', 'or', 'take', 'the', 'pram', 'for', 'long', 'walk', 'often', 'do', 'all', 'three', 'in', 'one', 'day']",joy,37,161
"['was', 'still', 'feeling', 'strong']",joy,5,26
"['didn', 'burst', 'into', 'tears', 'or', 'some', 'other', 'devastating', 'release', 'of', 'feelings', 'or', 'thoughts', 'because', 'seemed', 'to', 'know', 'that', 'rich', 'also', 'had', 'to', 'go', 'through', 'his', 'own', 'space', 'without', 'me', 'just', 'dumping', 'on', 'him']",joy,36,186
"['wanted', 'to', 'get', 'pumpkin', 'spice', 'latte', 'this', 'morning', 'but', 'it', 'was', 'hot', 'and', 'the', 'last', 'thing', 'wanted', 'was', 'hot', 'coffee', 'maybe', 'am', 'feeling', 'little', 'bitter']",anger,31,145
"['suppose', 'he', 'feels', 'badly', 'because', 'he', 'was', 'bit', 'skeptical', 'of', 'her', 'pain', 'over', 'the', 'last', 'few', 'months', 'shes', 'had', 'hyperchondria', 'and', 'exaggeration', 'habit', 'in', 'the', 'past', 'though', 'he', 'never', 'openly', 'questioned', 'her', 'about', 'it']",fear,37,199
"['clench', 'to', 'the', 'corners', 'of', 'the', 'bed', 'to', 'feel', 'assured']",joy,11,50
"['also', 'feel', 'like', 'am', 'being', 'selfish', 'in', 'not', 'being', 'grateful', 'for', 'the', 'life', 'do', 'have', 'and', 'the', 'amazing', 'things', 'in', 'it']",anger,24,109
"['called', 'it', 'god', 'because', 'seen', 'god', 'in', 'book', 'and', 'figured', 'god', 'was', 'the', 'right', 'name', 'for', 'feeling', 'so', 'utterly', 'affirmed', 'and', 'accepted', 'without', 'question']",love,28,143
"['don', 'know', 'why', 'perhaps', 'because', 'other', 'girls', 'in', 'the', 'office', 'had', 'nice', 'short', 'hair', 'or', 'perhaps', 'was', 'just', 'feeling', 'rebellious']",anger,23,119
"['do', 'not', 'feel', 'miserable', 'at', 'all', 'because', 'my', 'family', 'is', 'not', 'the', 'type', 'that', 'celebrates', 'eid']",sadness,17,84
"['might', 'go', 'get', 'car', 'wash', 'if', 'am', 'feeling', 'really', 'generous', 'my', 'car', 'needs', 'it']",joy,17,73
"['still', 'feel', 'sleep', 'deprived', 'she', 'is', 'almost', 'sleeping', 'through', 'the', 'night', 'giving', 'us']",sadness,14,78
"['just', 'feel', 'really', 'violent', 'right', 'now']",anger,7,36
"['am', 'bloging', 'again', 'am', 'sitting', 'here', 'feeling', 'content', 'with', 'my', 'dogs', 'amp', 'cat', 'etc', 'and', 'know', 'that', 'how', 'lucky', 'we', 'are', 'the', 'truth', 'is', 'we']",joy,28,126
"['started', 'feeling', 'funny', 'and', 'then', 'friday', 'woke', 'up', 'sick', 'as', 'dog']",surprise,14,63
"['feel', 'need', 'to', 'protect', 'my', 'parents', 'against', 'the', 'witch', 'hunt', 'that', 'repressed', 'memory', 'therapy', 'can', 'be']",sadness,18,95
"['feel', 'disgusted', 'to', 'even', 'be', 'associated', 'with', 'this', 'woman', 'by', 'my', 'race', 'and', 'nationality']",anger,15,81
"['laughed', 'then', 'bitterly', 'again', 'but', 'wasnt', 'feeling', 'bitter']",anger,10,56
"['couldn', 'know', 'what', 'he', 'was', 'feeling', 'then', 'thought', 'that', 'he', 'wished', 'he', 'could', 'have', 'been', 'there', 'with', 'us', 'too', 'for', 'each', 'of', 'us', 'knew', 'that', 'however', 'much', 'we', 'hated', 'it', 'at', 'first', 'it', 'was', 'an', 'experience', 'we', 'would', 'remember', 'forever']",sadness,43,208
"['was', 'feeling', 'quite', 'mellow', 'and', 'wanted', 'soft', 'easy', 'look', 'to', 'wear', 'with', 'my', 'beginning', 'of', 'cold']",joy,20,92
